neutral.A,neutral.C,neutral.G,neutral.T,selected.A,selected.C,selected.G,selected.T
54114.0,34360.0,33731.0,54775.0,204443.0,194538.0,186047.0,212261.0
223.0,306.0,279.0,229.0,238.0,475.0,435.0,278.0
74.0,142.0,118.0,93.0,83.0,135.0,138.0,111.0
42.0,77.0,60.0,44.0,45.0,75.0,60.0,61.0
40.0,44.0,29.0,32.0,27.0,45.0,38.0,38.0
33.0,39.0,39.0,28.0,36.0,44.0,31.0,20.0
23.0,35.0,26.0,27.0,27.0,31.0,31.0,22.0
15.0,19.0,27.0,20.0,34.0,29.0,25.0,26.0
18.0,25.0,25.0,25.0,21.0,27.0,22.0,16.0
21.0,31.0,21.0,33.0,31.0,24.0,37.0,30.0
153.0,185.0,163.0,161.0,185.0,217.0,217.0,176.0
