neutral.pendula,selected.pendula,neutral.pubescens,selected.pubescens
177017.0,802853.0,170340.0,792991.0
1219.0,1718.0,4449.0,6888.0
468.0,610.0,1622.0,2055.0
299.0,337.0,888.0,1156.0
170.0,206.0,593.0,801.0
135.0,161.0,531.0,659.0
108.0,130.0,413.0,483.0
92.0,91.0,354.0,465.0
65.0,77.0,264.0,380.0
66.0,55.0,272.0,344.0
57.0,72.0,199.0,272.0
60.0,54.0,177.0,227.0
53.0,54.0,150.0,203.0
54.0,49.0,136.0,161.0
46.0,49.0,109.0,111.0
43.0,41.0,90.0,97.0
53.0,57.0,55.0,73.0
53.0,50.0,42.0,56.0
55.0,66.0,28.0,56.0
79.0,89.0,22.0,33.0
550.0,697.0,12.0,12.0
