sfs_neut.pendula,sfs_sel.pendula,sfs_neut.pubescens,sfs_sel.pubescens,sfs_neut.example_1,sfs_sel.example_1,sfs_neut.example_2,sfs_sel.example_2,sfs_neut.example_3,sfs_sel.example_3
257295.95887484375,956767.703680349,249220.24107671855,948617.843718535,913967.0,2591082.0,991899.0,2995427.0,984269.0,2984316.0
2000.1532413865073,1904.9158198510809,6040.167973003149,6008.273791641998,10228.0,18664.0,860.0,972.0,3110.0,4714.0
826.0970926561987,677.461053427459,2106.1538925617215,1816.0958900891053,4673.0,7956.0,536.0,324.0,1419.0,1741.0
480.29110910425806,374.721656116885,1176.5323491075524,1012.0587011539959,3339.0,5274.0,296.0,227.0,1014.0,889.0
326.83153071248887,245.5184077521536,770.814371468484,671.5352384579869,2630.0,3605.0,261.0,145.0,780.0,617.0
241.98540865027036,174.65462268370726,542.1355467032516,476.5821103400826,2087.0,3329.0,241.0,88.0,691.0,395.0
188.18955952326948,129.93163691441003,400.042661468532,352.89230095207284,1715.0,2720.0,127.0,75.0,506.0,309.0
152.0699379067612,100.3909906314733,310.35308040454527,272.5593232025768,1373.0,2306.0,144.0,56.0,438.0,274.0
127.32345351475948,81.36380964493112,255.41000053152615,221.09098747235362,1246.0,2075.0,91.0,47.0,381.0,234.0
109.87620081185781,69.8089283380138,223.32413050183519,189.08984167582582,1037.0,2065.0,127.0,42.0,346.0,194.0
96.97453362878585,63.23702819434492,205.16538347306448,169.6208788217283,973.0,2019.0,97.0,34.0,335.0,169.0
87.05020583991518,59.69399506895183,194.48673227097794,157.5902906662622,904.0,2049.0,81.0,25.0,270.0,138.0
79.49505096370693,57.82371936745221,187.0882192546798,149.6817933568055,839.0,1912.0,65.0,34.0,274.0,146.0
74.24008184647263,56.75599857284956,180.22476635984472,143.85865608984918,784.0,2105.0,99.0,30.0,222.0,136.0
71.29944892451947,55.92813464513683,171.46265701183142,138.25202893936248,750.0,2038.0,64.0,25.0,210.0,138.0
70.59557264138506,55.09976944929164,158.06553455292487,130.2304243168933,700.0,2107.0,46.0,37.0,184.0,137.0
72.26419598154095,54.76975113169998,137.58214316888427,116.65222007485173,597.0,2104.0,56.0,19.0,175.0,141.0
77.54913188100555,56.96085527627331,109.35639570576404,95.37579082755902,599.0,2333.0,62.0,25.0,205.0,148.0
90.73692959252591,65.96989285631294,75.84456092646988,67.0911065546041,549.0,2514.0,54.0,24.0,186.0,171.0
123.68510625663559,90.6235830618061,42.548524806413155,36.62490683101765,508.0,2908.0,54.0,24.0,185.0,218.0
0.0,0.0,0.0,0.0,50502.0,338835.0,4740.0,2320.0,4800.0,4775.0
